ID,Gloss,Category,Precision,Recall,F1_score,Support
0,Country,Countries,100.00%,100.00%,100.00%,2
1,Thailand,Countries,100.00%,100.00%,100.00%,2
2,Laos,Countries,100.00%,100.00%,100.00%,2
4,Cambodia,Countries,100.00%,100.00%,100.00%,2
6,China,Countries,100.00%,100.00%,100.00%,2
11,Israel,Countries,100.00%,100.00%,100.00%,2
9,Taiwan,Countries,100.00%,100.00%,100.00%,2
8,Macau,Countries,100.00%,100.00%,100.00%,2
22,Hua Lamphong Railway Station,Special locations,100.00%,100.00%,100.00%,2
21,Giant Swing,Special locations,100.00%,100.00%,100.00%,2
19,Wat Phra That Doi Suthep,Special locations,100.00%,100.00%,100.00%,2
13,Wat Pho,Special locations,100.00%,100.00%,100.00%,1
20,Sanam Luang,Special locations,100.00%,100.00%,100.00%,2
16,Temple of the Golden Mount,Special locations,100.00%,100.00%,100.00%,1
36,Central Department Store,Special locations,100.00%,100.00%,100.00%,2
37,MBK Center,Special locations,100.00%,100.00%,100.00%,2
32,Lumphini Park,Special locations,100.00%,100.00%,100.00%,1
33,The Memorial Monument of Thao Suranaree,Special locations,100.00%,100.00%,100.00%,2
35,Siam Square,Special locations,100.00%,100.00%,100.00%,2
31,Wongwian Yai,Special locations,100.00%,100.00%,100.00%,1
28,Crocodile farm,Special locations,100.00%,100.00%,100.00%,2
30,Amporn Gardens,Special locations,100.00%,100.00%,100.00%,1
26,Victory Monument,Special locations,100.00%,100.00%,100.00%,2
24,Bang Lamphu,Special locations,100.00%,100.00%,100.00%,1
50,One,Numbers,100.00%,100.00%,100.00%,2
49,Zero,Numbers,100.00%,100.00%,100.00%,2
51,Two,Numbers,100.00%,100.00%,100.00%,2
52,Three,Numbers,100.00%,100.00%,100.00%,2
54,Five,Numbers,100.00%,100.00%,100.00%,2
53,Four,Numbers,100.00%,100.00%,100.00%,2
46,Siam Amazing Park,Special locations,100.00%,100.00%,100.00%,2
42,Tesco Lotus,Special locations,100.00%,100.00%,100.00%,2
80,Bor Bai Mai,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
81,Ror Rua,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
79,Hor Nok Hoog,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
77,Phor Samphao,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
75,Por Plaa,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
74,Phor Phaan,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
84,Dor Cha-Daa,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
83,Dor Dek,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
72,Sor Rue Si,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
73,Sor So,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
69,Tor Pa-Tuk,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
71,Sor Saalaa,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
68,Thor Mon-Tho,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
67,Thor Phoo Thao,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
66,Thor Tharn,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
70,Sor Sua,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
65,Thor Thoong,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
63,Kor Ra-Kung,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
61,Kor Kai,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
62,Kor Kwaii,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
60,Gor Gai,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
59,Ten,Numbers,100.00%,100.00%,100.00%,2
